Distance_km,Traffic_Density,Road_Type,Time_of_Day,Day_of_Week,Weather,Num_Traffic_Signals,Speed_Limit_kmph,Incident_Type,Population_Density_per_km2,Response_Time_minutes
2.67,Low,Residential,Morning,Sat,Clear,5,50,Medical,6754,3.92
1.41,Medium,Residential,Morning,Thu,Rain,1,60,Medical,6044,4.5
1.01,High,Secondary,Evening,Sat,Clear,1,30,Medical,4111,5.73
0.68,Low,Primary,Night,Sun,Clear,3,50,Medical,3079,1.0
4.3,Low,Residential,Afternoon,Fri,Clear,0,60,Fire,3885,3.84
1.47,Low,Secondary,Afternoon,Mon,Clear,4,40,Crime,4734,3.53
2.15,Low,Secondary,Morning,Fri,Clear,5,50,Fire,3933,3.09
2.03,High,Secondary,Evening,Sat,Clear,1,70,Other,1921,4.54
2.58,Medium,Residential,Afternoon,Sun,Clear,3,70,Medical,6582,3.79
6.02,Medium,Residential,Morning,Mon,Clear,3,50,Fire,2636,8.68
11.85,Medium,Residential,Evening,Sun,Clear,3,60,Other,7419,24.32
1.57,High,Primary,Afternoon,Sun,Clear,5,60,Medical,3979,4.04
5.27,High,Secondary,Morning,Sat,Rain,1,50,Crime,1894,13.82
4.34,Low,Primary,Morning,Fri,Rain,5,60,Medical,2285,4.63
2.56,Low,Primary,Evening,Tue,Clear,6,60,Other,5225,6.03
9.37,Medium,Residential,Morning,Wed,Rain,3,40,Crime,5016,27.6
0.67,Low,Primary,Night,Sun,Clear,4,60,Fire,2132,2.15
0.35,High,Secondary,Afternoon,Sun,Clear,4,50,Other,3581,3.58
5.77,Medium,Secondary,Morning,Mon,Clear,4,60,Fire,6603,8.6
1.73,High,Residential,Evening,Mon,Clear,4,60,Medical,5797,7.33
5.63,Low,Primary,Afternoon,Fri,Clear,3,60,Medical,3993,5.07
6.71,High,Primary,Afternoon,Wed,Clear,2,70,Fire,8366,12.95
0.19,Low,Secondary,Afternoon,Sun,Clear,2,70,Fire,200,1.0
6.45,High,Primary,Morning,Thu,Clear,4,60,Other,2389,10.93
1.78,Low,Residential,Evening,Mon,Clear,3,60,Fire,2765,4.2
2.14,Medium,Residential,Afternoon,Wed,Clear,3,30,Fire,7918,7.44
2.96,Medium,Secondary,Evening,Wed,Clear,2,40,Medical,6860,8.63
7.83,Low,Residential,Evening,Sun,Clear,7,50,Medical,11147,16.09
0.06,Medium,Primary,Evening,Mon,Snow,3,60,Medical,6382,1.51
1.94,High,Residential,Evening,Tue,Clear,7,60,Fire,4930,6.89
3.49,Low,Primary,Evening,Sat,Rain,2,50,Medical,10417,7.81
3.85,Medium,Residential,Afternoon,Tue,Clear,1,40,Fire,2644,6.97
3.54,Low,Secondary,Afternoon,Fri,Clear,4,50,Other,3113,6.06
0.43,High,Primary,Morning,Sun,Clear,1,70,Crime,1620,1.11
1.07,Medium,Primary,Evening,Sat,Clear,3,40,Medical,6874,4.47
1.33,Low,Secondary,Evening,Sat,Fog,5,50,Crime,5323,3.25
4.9,Low,Secondary,Morning,Fri,Clear,2,40,Other,4690,9.93
0.98,Medium,Primary,Night,Wed,Clear,6,50,Medical,5263,3.87
0.71,Low,Secondary,Evening,Sun,Clear,1,70,Other,5112,1.0
9.47,Low,Secondary,Afternoon,Mon,Clear,3,40,Medical,1060,15.5
0.03,Medium,Secondary,Morning,Tue,Rain,3,40,Crime,8643,1.0
18.39,Low,Residential,Afternoon,Wed,Clear,2,40,Fire,3452,33.65
3.39,Low,Primary,Evening,Sun,Clear,0,60,Crime,6169,3.73
5.29,Medium,Secondary,Morning,Tue,Rain,4,30,Other,3256,21.49
1.05,Low,Residential,Afternoon,Mon,Clear,4,50,Fire,3868,4.88
0.04,Low,Secondary,Night,Tue,Clear,3,70,Medical,4190,1.0
4.02,Low,Secondary,Evening,Thu,Clear,7,40,Fire,5227,10.37
5.39,Medium,Secondary,Afternoon,Sun,Clear,1,70,Medical,7403,9.22
4.05,Medium,Primary,Afternoon,Fri,Clear,5,40,Other,3745,11.99
0.46,Medium,Secondary,Morning,Sat,Clear,1,40,Medical,3978,1.0
4.2,Low,Residential,Night,Tue,Snow,3,60,Medical,3812,8.59
4.4,Low,Primary,Night,Mon,Rain,3,50,Medical,3233,6.35
3.22,Low,Residential,Evening,Sun,Clear,6,30,Other,5963,10.8
4.36,Low,Primary,Morning,Mon,Clear,3,60,Other,8329,4.57
5.61,High,Secondary,Morning,Thu,Clear,6,50,Medical,6094,15.26
2.85,Low,Residential,Morning,Mon,Clear,5,70,Medical,4557,6.26
0.28,Low,Residential,Afternoon,Thu,Clear,1,50,Medical,9408,2.62
2.01,Low,Residential,Morning,Wed,Clear,1,60,Crime,3298,2.9
0.24,Medium,Residential,Evening,Tue,Clear,2,50,Medical,5324,1.17
1.57,Medium,Secondary,Afternoon,Mon,Rain,1,40,Medical,8819,5.15
1.57,Medium,Secondary,Morning,Fri,Clear,6,70,Medical,1853,2.45
0.2,High,Primary,Evening,Tue,Clear,5,60,Medical,4522,2.38
1.29,Medium,Primary,Morning,Sun,Rain,6,60,Fire,6074,6.17
0.35,Low,Secondary,Evening,Thu,Clear,1,50,Other,5754,1.1
4.95,Low,Secondary,Afternoon,Tue,Rain,2,50,Fire,4031,9.58
8.85,Medium,Secondary,Afternoon,Tue,Clear,0,50,Medical,9190,16.26
0.23,Medium,Residential,Morning,Mon,Clear,2,60,Medical,3868,1.0
9.31,Medium,Secondary,Night,Fri,Rain,3,50,Medical,3224,17.64
2.22,Medium,Primary,Evening,Wed,Clear,5,50,Other,4615,6.67
1.07,Medium,Secondary,Afternoon,Fri,Clear,3,40,Medical,2301,3.59
0.24,High,Secondary,Morning,Sat,Clear,5,60,Medical,914,2.59
2.08,Medium,Secondary,Evening,Thu,Clear,2,50,Medical,6988,5.26
4.75,Medium,Residential,Afternoon,Sat,Clear,4,50,Fire,5148,9.17
3.68,Low,Secondary,Night,Sun,Fog,2,30,Medical,3848,8.94
0.15,Medium,Residential,Night,Fri,Clear,4,50,Fire,7637,1.0
0.23,High,Secondary,Evening,Fri,Clear,1,50,Other,5432,1.0
1.55,Low,Secondary,Night,Thu,Clear,1,60,Medical,4345,1.0
1.05,Medium,Residential,Morning,Sun,Clear,2,50,Medical,2974,1.65
0.79,Medium,Primary,Afternoon,Sun,Rain,3,50,Fire,4149,2.64
0.99,Low,Primary,Afternoon,Fri,Clear,3,50,Medical,4426,1.12
4.88,Medium,Primary,Morning,Wed,Clear,3,30,Fire,7362,14.78
7.94,Low,Secondary,Night,Tue,Clear,6,50,Crime,3462,10.23
1.56,High,Primary,Morning,Wed,Fog,2,40,Crime,5561,6.13
7.1,High,Residential,Night,Sat,Clear,4,50,Medical,4640,16.63
1.16,Low,Secondary,Evening,Tue,Clear,3,50,Crime,3500,3.36
1.94,Low,Secondary,Afternoon,Tue,Clear,1,40,Fire,5713,3.08
0.77,Medium,Primary,Morning,Fri,Clear,2,60,Crime,5864,2.1
3.07,Low,Primary,Morning,Tue,Clear,2,50,Other,3498,5.58
11.59,Low,Primary,Morning,Thu,Clear,0,50,Medical,3806,11.69
2.78,Medium,Secondary,Afternoon,Wed,Clear,0,50,Medical,3011,4.38
1.33,Low,Secondary,Afternoon,Tue,Clear,6,50,Medical,7645,6.6
3.13,Low,Secondary,Evening,Fri,Clear,2,60,Medical,8514,7.61
0.39,High,Secondary,Evening,Fri,Clear,3,50,Crime,4253,2.35
6.59,High,Residential,Afternoon,Fri,Clear,1,50,Crime,6788,19.02
2.1,Medium,Primary,Morning,Mon,Clear,7,50,Medical,3097,6.0
1.79,High,Residential,Evening,Wed,Clear,3,50,Crime,4374,6.88
2.64,Low,Secondary,Afternoon,Fri,Clear,2,60,Medical,6913,4.25
2.94,Low,Secondary,Afternoon,Sun,Clear,2,60,Medical,3802,4.65
0.22,Low,Primary,Evening,Thu,Clear,3,60,Medical,4136,1.0
3.44,Medium,Secondary,Night,Fri,Clear,4,40,Fire,2576,6.83
0.83,High,Primary,Night,Mon,Clear,2,60,Medical,3899,1.06
3.75,Medium,Residential,Morning,Wed,Clear,4,50,Crime,6351,8.5
5.19,High,Secondary,Afternoon,Tue,Clear,3,40,Crime,6379,17.35
4.89,Medium,Residential,Morning,Wed,Clear,4,60,Other,3506,9.62
2.41,Low,Secondary,Night,Tue,Clear,5,50,Fire,2296,3.56
2.2,Low,Primary,Morning,Sun,Fog,2,50,Medical,6544,3.29
0.46,Low,Secondary,Morning,Tue,Clear,3,60,Medical,651,1.01
4.48,Low,Primary,Night,Fri,Clear,2,40,Medical,7201,4.38
0.95,Medium,Residential,Night,Sat,Clear,3,40,Fire,8894,2.12
2.06,Low,Residential,Evening,Thu,Clear,2,60,Other,7688,3.9
1.0,Medium,Secondary,Morning,Thu,Clear,3,50,Crime,6298,2.7
0.43,Medium,Secondary,Afternoon,Sat,Rain,4,50,Medical,5702,1.75
2.98,Low,Secondary,Evening,Fri,Clear,8,50,Medical,4194,9.13
0.17,Medium,Residential,Evening,Mon,Clear,1,60,Other,3599,1.95
4.14,Medium,Primary,Morning,Tue,Snow,3,50,Fire,4402,9.68
1.15,Low,Residential,Morning,Sat,Clear,3,40,Medical,1906,5.36
0.0,High,Secondary,Night,Thu,Clear,3,60,Crime,319,1.0
2.15,Medium,Residential,Afternoon,Wed,Clear,2,40,Fire,3052,3.99
0.14,Medium,Residential,Evening,Mon,Clear,6,60,Other,4512,1.0
0.97,High,Residential,Afternoon,Fri,Rain,1,50,Crime,2966,4.02
3.68,High,Secondary,Afternoon,Mon,Clear,3,30,Fire,4553,14.14
0.19,High,Primary,Night,Sun,Clear,5,50,Fire,5484,3.44
5.49,Low,Secondary,Afternoon,Sun,Rain,5,50,Fire,8826,9.78
0.01,Low,Secondary,Evening,Thu,Clear,3,50,Medical,4499,1.96
0.85,Low,Residential,Morning,Sat,Clear,3,50,Other,4768,2.71
4.05,Low,Primary,Morning,Sun,Clear,3,50,Other,2532,5.43
1.14,High,Secondary,Evening,Sun,Rain,4,50,Medical,5030,4.87
0.32,Medium,Primary,Evening,Sun,Clear,2,60,Crime,6498,1.0
1.34,Low,Residential,Evening,Fri,Clear,1,40,Other,6765,1.0
0.95,Low,Primary,Morning,Thu,Rain,6,50,Medical,4712,3.55
5.55,Low,Secondary,Morning,Tue,Clear,3,50,Medical,4363,8.43
1.13,Medium,Primary,Night,Sun,Clear,5,50,Fire,3298,6.44
4.67,Medium,Primary,Afternoon,Sun,Clear,4,50,Medical,5208,9.89
6.67,High,Residential,Evening,Sun,Clear,3,70,Other,7538,15.43
1.71,High,Primary,Afternoon,Mon,Clear,3,60,Medical,7290,4.97
7.22,Low,Primary,Night,Sat,Rain,2,40,Medical,6081,13.05
1.42,Low,Primary,Night,Tue,Clear,2,60,Crime,5741,3.75
9.98,Low,Secondary,Morning,Wed,Clear,2,40,Crime,5294,17.31
0.28,Low,Secondary,Evening,Tue,Clear,2,60,Medical,2282,1.0
3.48,High,Primary,Morning,Mon,Rain,2,50,Medical,7870,9.37
2.04,Medium,Secondary,Morning,Wed,Clear,3,70,Medical,6787,2.74
1.47,Medium,Primary,Afternoon,Thu,Clear,5,60,Fire,1608,3.44
3.0,Medium,Residential,Evening,Sat,Clear,3,60,Fire,4429,6.07
3.65,Low,Residential,Afternoon,Wed,Rain,2,40,Crime,2994,8.41
0.01,Low,Residential,Evening,Mon,Clear,5,60,Other,10030,3.26
0.55,Medium,Residential,Morning,Sun,Clear,4,40,Medical,1801,1.98
3.75,Medium,Primary,Morning,Fri,Clear,5,70,Fire,5339,6.66
3.29,Low,Primary,Evening,Wed,Clear,7,50,Medical,6539,6.12
10.15,Medium,Secondary,Afternoon,Thu,Clear,3,60,Other,1970,16.12
4.29,High,Primary,Evening,Wed,Rain,2,50,Fire,7704,10.42
9.03,Low,Primary,Evening,Sat,Clear,2,50,Medical,2827,11.18
3.64,Medium,Primary,Night,Tue,Clear,4,50,Other,2703,6.5
1.06,Low,Secondary,Afternoon,Fri,Clear,3,50,Other,6758,4.28
0.33,Medium,Secondary,Morning,Mon,Clear,2,50,Medical,4616,1.0
4.57,Medium,Primary,Evening,Fri,Clear,3,60,Other,2223,7.25
3.1,High,Primary,Evening,Tue,Clear,9,70,Crime,2489,8.97
0.15,Low,Secondary,Afternoon,Sun,Clear,1,60,Fire,2182,1.86
1.34,Low,Primary,Evening,Fri,Clear,5,60,Medical,3152,3.43
9.43,Low,Residential,Afternoon,Sun,Clear,7,60,Medical,3363,12.72
2.08,Low,Primary,Morning,Sun,Fog,4,50,Medical,8859,4.24
1.7,Medium,Secondary,Evening,Tue,Clear,1,60,Medical,9511,1.63
1.84,High,Secondary,Morning,Sat,Rain,2,50,Medical,4330,4.23
0.7,Low,Primary,Afternoon,Wed,Clear,3,50,Crime,2276,3.75
1.38,Low,Secondary,Afternoon,Mon,Clear,9,50,Medical,9288,4.33
1.39,Low,Secondary,Afternoon,Tue,Clear,2,60,Medical,6713,3.03
0.16,Medium,Residential,Evening,Sun,Clear,1,30,Medical,6275,1.0
4.38,Low,Secondary,Morning,Tue,Clear,1,60,Fire,3336,2.85
1.62,Low,Primary,Night,Wed,Clear,1,50,Medical,4766,2.53
5.18,Medium,Primary,Evening,Tue,Clear,1,60,Medical,2931,6.84
5.7,Low,Primary,Afternoon,Mon,Clear,7,40,Other,3947,10.83
0.71,Medium,Primary,Morning,Thu,Clear,2,50,Medical,9670,1.0
3.21,Medium,Secondary,Morning,Fri,Clear,2,40,Fire,8164,8.32
1.92,Low,Residential,Evening,Sat,Clear,3,30,Other,1360,6.2
6.36,Medium,Secondary,Afternoon,Sat,Rain,2,60,Medical,5903,12.33
0.73,Medium,Secondary,Morning,Tue,Clear,5,50,Medical,2985,2.76
3.4,Medium,Secondary,Afternoon,Fri,Clear,2,60,Fire,2325,6.0
2.81,Low,Residential,Evening,Sat,Snow,3,50,Crime,4427,9.24
1.05,Low,Primary,Evening,Fri,Clear,2,60,Other,2079,3.37
0.44,High,Residential,Evening,Sat,Clear,2,40,Medical,7316,1.44
3.16,Medium,Residential,Night,Thu,Fog,4,40,Medical,6560,10.05
4.03,Low,Primary,Morning,Tue,Clear,2,50,Medical,3133,3.98
1.14,Low,Primary,Evening,Sun,Clear,2,50,Other,10477,2.75
3.11,Low,Residential,Morning,Mon,Clear,8,40,Crime,7912,9.02
1.51,Low,Residential,Afternoon,Tue,Clear,4,60,Other,3378,4.08
3.75,Medium,Primary,Evening,Fri,Fog,4,50,Medical,11542,9.98
0.67,Low,Secondary,Morning,Wed,Clear,4,50,Medical,4354,1.58
6.63,Low,Secondary,Afternoon,Thu,Clear,2,50,Other,1860,9.66
1.02,Medium,Secondary,Evening,Mon,Clear,6,70,Medical,2464,3.18
1.38,Low,Primary,Morning,Mon,Clear,1,50,Fire,5277,1.8
0.18,Medium,Primary,Afternoon,Fri,Clear,5,50,Medical,5624,2.55
0.35,Medium,Secondary,Night,Mon,Fog,2,70,Fire,4752,1.11
2.18,Low,Residential,Afternoon,Fri,Rain,0,40,Other,3422,7.25
0.93,Medium,Residential,Evening,Mon,Clear,1,70,Crime,9441,1.0
5.41,Medium,Primary,Evening,Mon,Clear,4,60,Medical,4037,7.24
0.04,Low,Residential,Morning,Sat,Clear,2,50,Other,4090,1.17
1.43,Low,Primary,Morning,Sat,Clear,2,50,Medical,200,2.6
1.23,Medium,Secondary,Evening,Fri,Clear,4,60,Medical,1806,1.94
0.06,High,Residential,Evening,Thu,Clear,1,30,Fire,8692,1.0
0.4,Medium,Secondary,Morning,Mon,Clear,2,60,Medical,3350,1.51
1.6,Low,Primary,Afternoon,Tue,Clear,4,50,Medical,7982,4.57
2.04,Medium,Primary,Afternoon,Wed,Clear,2,60,Fire,3350,3.39
1.55,Low,Secondary,Evening,Sat,Rain,3,40,Fire,3024,4.1
2.27,Medium,Residential,Afternoon,Sun,Clear,3,50,Other,5576,4.57
2.71,Medium,Residential,Night,Fri,Rain,4,50,Medical,5914,4.82
0.03,Medium,Residential,Night,Mon,Clear,3,60,Medical,1766,1.0
1.87,High,Residential,Evening,Sat,Fog,3,50,Fire,3796,6.94
9.93,Medium,Secondary,Evening,Thu,Clear,2,60,Crime,4766,14.34
2.2,Medium,Residential,Afternoon,Sat,Clear,3,40,Fire,5294,5.96
3.4,Low,Primary,Morning,Tue,Clear,4,40,Fire,6064,7.37
1.12,High,Residential,Evening,Fri,Clear,3,40,Medical,4980,5.92
4.46,High,Primary,Afternoon,Tue,Clear,3,60,Crime,7604,8.09
4.45,Low,Residential,Afternoon,Sat,Clear,2,50,Medical,10796,6.27
2.21,Medium,Primary,Evening,Wed,Clear,4,60,Fire,2440,6.03
11.19,Low,Secondary,Afternoon,Thu,Clear,4,50,Fire,4482,15.12
0.4,Medium,Secondary,Evening,Fri,Clear,5,60,Medical,2977,2.35
0.05,Medium,Residential,Afternoon,Fri,Clear,3,50,Fire,2717,1.0
4.41,Low,Residential,Morning,Mon,Clear,4,70,Other,4255,6.05
4.94,High,Primary,Afternoon,Tue,Clear,2,60,Medical,2481,7.02
0.38,Low,Secondary,Night,Fri,Clear,0,50,Medical,6756,1.0
0.93,Medium,Primary,Evening,Tue,Clear,2,60,Medical,10481,1.54
0.05,Medium,Primary,Morning,Wed,Clear,3,70,Medical,4914,1.0
1.04,Low,Primary,Afternoon,Mon,Clear,2,50,Other,3691,1.78
4.45,Low,Primary,Night,Sun,Snow,3,50,Other,1076,9.25
2.19,Low,Secondary,Morning,Wed,Fog,8,50,Medical,3656,5.61
1.28,Medium,Residential,Afternoon,Mon,Clear,4,70,Crime,6286,2.03
1.39,Medium,Residential,Afternoon,Mon,Clear,1,50,Medical,5436,1.17
0.0,Low,Primary,Evening,Tue,Clear,3,60,Fire,2757,1.0
1.07,Low,Primary,Afternoon,Sun,Rain,5,40,Fire,6404,5.2
3.12,Low,Primary,Morning,Sun,Clear,4,50,Medical,2600,4.23
10.97,Medium,Primary,Evening,Sat,Clear,8,60,Fire,6043,21.64
5.63,Medium,Primary,Morning,Mon,Rain,1,70,Crime,6361,7.24
0.07,Low,Primary,Evening,Wed,Rain,2,60,Other,5137,1.0
6.86,Medium,Secondary,Afternoon,Sat,Rain,3,30,Medical,8553,22.73
4.59,Low,Secondary,Afternoon,Wed,Rain,4,60,Other,2700,7.9
4.55,High,Secondary,Morning,Sun,Rain,2,60,Fire,10627,12.83
1.84,High,Primary,Evening,Sat,Rain,3,40,Fire,1324,6.39
1.52,Medium,Secondary,Afternoon,Wed,Clear,3,60,Medical,1669,3.38
1.08,High,Residential,Afternoon,Tue,Fog,2,70,Crime,513,3.52
0.2,High,Primary,Evening,Tue,Clear,3,30,Medical,3905,1.0
0.78,High,Primary,Evening,Thu,Clear,1,70,Medical,200,2.54
0.85,Medium,Primary,Morning,Sun,Clear,0,50,Medical,5207,1.0
1.99,Low,Primary,Morning,Sun,Clear,2,60,Medical,5216,3.82
4.13,Low,Secondary,Morning,Fri,Clear,2,50,Fire,3061,5.42
1.93,Low,Primary,Evening,Thu,Rain,5,60,Fire,4183,4.39
0.18,Medium,Secondary,Evening,Thu,Clear,2,50,Medical,4623,1.0
9.5,Low,Primary,Evening,Mon,Rain,6,50,Fire,4962,16.97
8.58,Low,Secondary,Evening,Sun,Clear,1,50,Other,3846,13.89
4.61,Medium,Primary,Night,Mon,Clear,3,50,Medical,4031,5.38
14.24,Low,Secondary,Afternoon,Thu,Rain,4,50,Medical,5545,23.02
2.36,Medium,Primary,Afternoon,Fri,Clear,3,60,Medical,2191,2.56
9.87,High,Primary,Evening,Thu,Rain,2,60,Fire,3808,23.9
0.24,Medium,Residential,Morning,Tue,Clear,0,40,Fire,7634,1.0
1.37,Medium,Secondary,Afternoon,Wed,Snow,3,70,Fire,2849,4.86
0.77,Medium,Primary,Morning,Thu,Clear,2,30,Fire,2474,3.23
0.65,Medium,Secondary,Night,Mon,Clear,3,50,Medical,2120,3.77
0.46,Low,Secondary,Afternoon,Fri,Snow,2,50,Crime,2907,1.95
2.92,High,Secondary,Morning,Mon,Clear,1,40,Medical,6914,8.62
4.56,Low,Secondary,Evening,Sun,Snow,3,40,Fire,7058,12.55
2.59,Low,Residential,Morning,Tue,Rain,2,60,Medical,6946,4.87
0.48,Medium,Primary,Night,Sun,Clear,2,50,Medical,6138,3.12
5.0,Low,Primary,Afternoon,Sat,Clear,5,50,Medical,5898,6.65
3.03,Low,Primary,Evening,Mon,Clear,4,60,Fire,7224,5.37
1.47,Low,Residential,Afternoon,Sun,Clear,3,60,Medical,3835,4.21
3.36,Low,Residential,Evening,Sat,Clear,4,60,Medical,7005,5.91
0.9,Low,Residential,Night,Mon,Clear,2,50,Crime,8172,2.83
1.27,Low,Residential,Evening,Fri,Fog,3,60,Medical,1012,2.96
7.48,Medium,Residential,Evening,Sun,Clear,2,70,Fire,4232,11.0
1.03,High,Secondary,Morning,Sat,Clear,0,40,Other,4109,1.62
1.9,Low,Residential,Night,Fri,Clear,0,60,Crime,4936,3.88
6.63,High,Residential,Evening,Mon,Clear,4,60,Fire,6111,16.97
3.69,Low,Primary,Night,Mon,Clear,1,70,Medical,10212,2.22
0.19,Low,Secondary,Evening,Thu,Clear,2,40,Crime,1608,1.36
0.48,Low,Secondary,Morning,Tue,Snow,1,70,Medical,1917,1.2
0.02,Medium,Residential,Evening,Sat,Clear,3,60,Medical,7122,1.0
2.99,Low,Residential,Morning,Thu,Clear,3,60,Other,6041,5.46
1.78,Medium,Residential,Evening,Fri,Clear,2,40,Medical,3918,5.48
0.43,Medium,Residential,Afternoon,Thu,Rain,6,60,Crime,4124,3.23
9.51,Medium,Secondary,Morning,Thu,Rain,5,50,Medical,4723,20.97
2.26,Medium,Primary,Night,Sat,Clear,2,60,Crime,6083,4.82
0.83,High,Primary,Night,Mon,Clear,5,60,Fire,6652,3.88
2.08,Low,Secondary,Night,Mon,Clear,2,40,Other,7231,4.18
3.41,Low,Secondary,Evening,Sat,Clear,5,40,Fire,8255,6.67
0.24,Medium,Secondary,Evening,Tue,Clear,7,50,Medical,7338,3.38
0.96,Medium,Secondary,Evening,Wed,Rain,5,60,Other,4482,2.15
4.93,Low,Residential,Morning,Wed,Clear,4,60,Medical,1588,7.88
1.85,Low,Primary,Night,Sat,Clear,3,60,Other,3021,3.59
2.37,Medium,Residential,Night,Sat,Clear,3,60,Crime,200,3.81
1.7,Low,Residential,Evening,Thu,Clear,2,60,Fire,10495,4.24
0.13,Low,Secondary,Night,Tue,Clear,1,50,Fire,8148,1.0
0.54,High,Secondary,Evening,Tue,Rain,3,50,Medical,3720,1.5
1.77,Medium,Residential,Afternoon,Fri,Fog,3,60,Fire,6556,5.29
0.7,Medium,Secondary,Night,Mon,Clear,3,60,Fire,4637,1.2
0.15,Medium,Primary,Afternoon,Sun,Clear,1,60,Medical,6889,1.0
5.57,High,Primary,Evening,Sat,Rain,2,50,Crime,6425,19.33
11.92,Low,Primary,Afternoon,Sun,Clear,1,60,Medical,4694,12.68
4.73,Low,Primary,Evening,Sat,Clear,1,60,Crime,5392,5.33
5.77,Medium,Primary,Evening,Sat,Clear,2,60,Other,3626,8.32
0.83,Medium,Primary,Evening,Sat,Clear,4,50,Other,6355,1.0
9.7,Low,Secondary,Afternoon,Fri,Rain,3,60,Other,364,17.2
0.66,High,Residential,Afternoon,Wed,Rain,4,50,Other,6182,1.0
9.07,Medium,Secondary,Evening,Tue,Clear,7,70,Crime,1299,15.23
15.79,Low,Residential,Night,Sun,Clear,4,60,Fire,4970,15.8
3.73,Low,Residential,Morning,Wed,Clear,3,50,Medical,5236,7.05
11.91,Low,Secondary,Morning,Mon,Clear,2,50,Medical,5656,14.85
2.53,Medium,Secondary,Morning,Mon,Rain,5,50,Fire,2942,6.7
0.9,High,Primary,Night,Sat,Clear,3,50,Fire,3052,2.18
1.72,Low,Residential,Evening,Sun,Clear,1,70,Medical,6122,1.99
2.7,High,Residential,Night,Mon,Clear,2,60,Other,3615,6.05
0.23,High,Secondary,Evening,Wed,Clear,2,60,Medical,7426,1.0
2.92,Medium,Primary,Afternoon,Sun,Clear,1,50,Medical,4875,4.92
11.92,Medium,Residential,Evening,Tue,Clear,5,40,Other,4998,36.22
0.63,Low,Primary,Morning,Sun,Rain,1,50,Fire,4762,1.0
4.72,Medium,Primary,Afternoon,Fri,Clear,2,70,Medical,5935,7.5
7.15,Low,Residential,Afternoon,Tue,Clear,1,40,Medical,4975,12.36
8.63,Medium,Secondary,Afternoon,Tue,Rain,2,60,Fire,5759,15.53
9.67,Low,Secondary,Afternoon,Thu,Rain,2,40,Medical,9360,19.38
2.21,High,Residential,Morning,Tue,Clear,0,40,Medical,9253,6.52
11.36,High,Secondary,Morning,Fri,Clear,4,60,Crime,6734,22.42
4.25,Low,Secondary,Afternoon,Thu,Clear,3,50,Medical,200,7.05
0.53,Low,Primary,Evening,Tue,Clear,8,30,Medical,3084,4.24
1.94,Medium,Primary,Morning,Thu,Rain,6,50,Medical,5315,4.67
3.8,Medium,Residential,Afternoon,Sun,Clear,4,60,Medical,3565,7.21
0.85,Low,Secondary,Morning,Tue,Rain,2,50,Medical,5953,2.79
3.07,Medium,Primary,Evening,Mon,Clear,5,50,Medical,5046,4.14
3.3,Low,Primary,Evening,Mon,Clear,4,50,Medical,4781,5.69
0.53,Low,Secondary,Night,Tue,Clear,3,40,Fire,4521,1.0
2.5,Low,Secondary,Evening,Sun,Clear,4,50,Medical,1846,5.27
4.43,Low,Secondary,Afternoon,Thu,Clear,3,40,Medical,4440,9.17
2.07,Medium,Secondary,Morning,Fri,Clear,1,60,Other,7887,3.96
0.04,High,Primary,Morning,Mon,Fog,4,60,Fire,5420,1.73
0.03,Low,Secondary,Night,Thu,Clear,3,50,Crime,7279,2.34
1.32,Medium,Residential,Evening,Fri,Clear,4,40,Medical,5678,4.66
7.82,Low,Primary,Morning,Thu,Clear,3,50,Fire,6473,10.91
0.78,Medium,Secondary,Morning,Tue,Clear,3,70,Medical,7868,2.89
3.02,Low,Secondary,Afternoon,Mon,Clear,1,50,Medical,3240,5.14
0.75,Medium,Secondary,Morning,Mon,Clear,0,60,Medical,7732,1.0
1.16,High,Primary,Evening,Mon,Clear,4,40,Fire,200,4.79
5.65,Low,Residential,Evening,Tue,Rain,3,60,Medical,4261,11.45
3.92,Medium,Secondary,Evening,Fri,Rain,1,50,Crime,10553,11.76
0.3,Low,Residential,Afternoon,Fri,Fog,3,60,Medical,4880,4.12
1.68,Low,Primary,Afternoon,Sat,Clear,3,30,Medical,7886,4.83
0.09,Low,Secondary,Evening,Sat,Fog,5,50,Crime,5840,1.55
1.97,Low,Residential,Evening,Sun,Clear,2,60,Medical,6162,3.36
3.26,Low,Primary,Afternoon,Mon,Clear,4,60,Fire,2124,6.69
0.38,Low,Primary,Afternoon,Sat,Clear,1,70,Crime,4768,2.75
1.02,Low,Secondary,Evening,Sun,Clear,3,60,Medical,2948,1.19
1.52,Low,Primary,Morning,Fri,Rain,4,40,Fire,7598,3.1
7.56,Medium,Secondary,Afternoon,Sat,Clear,3,60,Other,8179,15.09
15.0,High,Primary,Afternoon,Sat,Clear,2,50,Fire,4000,27.65
0.14,Low,Primary,Evening,Mon,Clear,1,40,Medical,4315,1.0
4.29,Low,Secondary,Morning,Fri,Clear,6,40,Medical,8053,9.27
1.39,Low,Primary,Evening,Sun,Clear,2,60,Crime,1005,2.86
1.5,High,Residential,Morning,Mon,Clear,4,60,Medical,7893,5.26
4.21,Medium,Residential,Morning,Fri,Fog,3,40,Medical,5031,12.96
7.52,Medium,Secondary,Evening,Thu,Clear,4,60,Medical,5369,14.22
9.04,Low,Residential,Evening,Mon,Clear,2,60,Crime,5116,14.5
2.58,Low,Residential,Night,Sat,Clear,3,40,Crime,9455,9.01
1.33,Low,Primary,Afternoon,Sun,Clear,2,50,Fire,4833,3.29
